Device,Variable Name,Register Type,Modbus Address,Mode,Keterangan ,,
Device_1 / Sensor_1,Name,4X(4X),1,Read & Write,Variabel Nama Sensor yang dapat di ubah melalui HMI ,,Note:
,Temp,4X(4X),9,Read & Write,Data Temperature,,1. Calibrate untuk kalibrasi sensor (float + atau -)
,Hum,4X(4X),11,Read & Write,Data Humidity,,2. Over untuk treshold atas / batas atas
,calibrate_temp,4X(4X),13,Read & Write,Data Kalibrari Temperature yang di ubah melalui HMI ,,3. Under untuk treshold bawah / batas bawah
,calibrate_hum,4X(4X),15,Read & Write,Data Kalibrari Humidity yang di ubah melalui HMI ,,
,over_temp,4X(4X),17,Read & Write,Data set Alaram Over atau Batas Atas Temperature ,,
,under_temp,4X(4X),19,Read & Write,Data set Alaram under atau Batas Bawah Temperature ,,
,over_hum,4X(4X),21,Read & Write,Data set Alaram Over atau Batas Atas Humidity ,,
,under_hum,4X(4X),23,Read & Write,Data set Alaram under atau Batas Bawah Humidity  ,,
,,,,,,,
Device_2 / Sensor_2,Name,4X(4X),25,Read & Write,,,
,Temp,4X(4X),33,Read & Write,,,
,Hum,4X(4X),35,Read & Write,,,
,calibrate_temp,4X(4X),37,Read & Write,,,
,calibrate_hum,4X(4X),39,Read & Write,,,
,over_temp,4X(4X),41,Read & Write,,,
,under_temp,4X(4X),43,Read & Write,,,
,over_hum,4X(4X),45,Read & Write,,,
,under_hum,4X(4X),47,Read & Write,,,
,,,,,,,
Device_3 / Sensor_3,Name,4X(4X),49,Read & Write,,,
,Temp,4X(4X),57,Read & Write,,,
,Hum,4X(4X),59,Read & Write,,,
,calibrate_temp,4X(4X),61,Read & Write,,,
,calibrate_hum,4X(4X),63,Read & Write,,,
,over_temp,4X(4X),65,Read & Write,,,
,under_temp,4X(4X),67,Read & Write,,,
,over_hum,4X(4X),69,Read & Write,,,
,under_hum,4X(4X),71,Read & Write,,,
,,,,,,,
Device_4 / Sensor_4,Name,4X(4X),73,Read & Write,,,
,Temp,4X(4X),81,Read & Write,,,
,Hum,4X(4X),83,Read & Write,,,
,calibrate_temp,4X(4X),85,Read & Write,,,
,calibrate_hum,4X(4X),87,Read & Write,,,
,over_temp,4X(4X),89,Read & Write,,,
,under_temp,4X(4X),91,Read & Write,,,
,over_hum,4X(4X),93,Read & Write,,,
,under_hum,4X(4X),95,Read & Write,,,
,,,,,,,
Average,Temp,4X(4X),97,Read & Write,Rata - Rata Temperature 4 sensor,,
,Hum,4X(4X),99,Read & Write,Rata - Rata Humidity 4 sensor,,
,,,,,,,
Room,,,,,,,
Setiap HMI,name,4X(4X),101,Read & Write,Nama Ruang,,
,detail,4X(4X),107,Read & Write,Detail Lokasi Ruang,,
,,,,,,,
Data Alarm,,,,,,,
Device_1 / Sensor_1,Device_1_Temp,0X(0X),1,Read & Write,Alarm Temperature ketika lewat Treshold,,
,Device_1_Hum,0X(0X),2,Read & Write,Alarm Humidity ketika lewat Treshold,,
,,,,,,,
Device_2 / Sensor_2,Device_2_Temp,0X(0X),3,Read & Write,,,
,Device_2_Hum,0X(0X),4,Read & Write,,,
,,,,,,,
Device_3 / Sensor_3,Device_3_Temp,0X(0X),5,Read & Write,,,
,Device_3_Hum,0X(0X),6,Read & Write,,,
,,,,,,,
Device_4 / Sensor_4,Device_4_Temp,0X(0X),7,Read & Write,,,
,Device_4_Hum,0X(0X),8,Read & Write,,,
,,,,,,,
Status Alarm,Status,0X(0X),9,Read & Write,Status Alarm Data Disabled / Enabled,,
,,,,,,,
Connection Alarm,,,,,,,
Device_1,Device_1,0X(0X),10,Read & Write,Alarm Koneksi (Disconnected / Connected),,
Device_2,Device_2,0X(0X),11,Read & Write,,,
Device_3,Device_3,0X(0X),12,Read & Write,,,
Device_4,Device_4,0X(0X),13,Read & Write,,,
Status Alarm,Status,0X(0X),14,Read & Write,Status Alarm Koneksi Disabled / Enabled,,